2026-07-16 23:05:46,732 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 23:05:46,746 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-10\test_save_json_and_markdown0\output\sample.json
2026-07-16 23:05:46,747 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-10\test_save_json_and_markdown0\output\sample.md
2026-07-16 23:06:07,680 | INFO | app | AI Multi-Agent Studio started
2026-07-16 23:07:32,692 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\social_content_payload.json
2026-07-16 23:10:26,398 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 23:16:32,934 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 23:16:32,939 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 23:16:32,957 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-11\test_save_json_and_markdown0\output\sample.json
2026-07-16 23:16:32,958 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-11\test_save_json_and_markdown0\output\sample.md
2026-07-16 23:19:34,630 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 23:19:34,634 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 23:19:34,648 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-12\test_save_json_and_markdown0\output\sample.json
2026-07-16 23:19:34,649 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-12\test_save_json_and_markdown0\output\sample.md
2026-07-16 23:19:54,517 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 23:19:54,525 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 23:19:54,546 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-13\test_save_json_and_markdown0\output\sample.json
2026-07-16 23:19:54,548 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-13\test_save_json_and_markdown0\output\sample.md
